path,line_count,complexity,exports_count,total_imports,external_imports,internal_imports,interfaces_count,types_count,enums_count,generics_count,decorators_count,has_advanced_types,exports,imported_modules
./frontend/node_modules/tsconfig-paths/src/index.ts,24,0.24,0,0,0,0,0,0,0,0,0,No,,
./frontend/node_modules/tsconfig-paths/src/register.ts,97,1.97,1,3,0,3,0,0,0,0,0,Yes,function:register,./match-path-sync;./config-loader;./options
./frontend/node_modules/tsconfig-paths/src/config-loader.ts,97,7.37,8,1,0,1,4,2,0,4,0,Yes,interface:ExplicitParams;type:TsConfigLoader;interface:ConfigLoaderParams;interface:ConfigLoaderSuccessResult;interface:ConfigLoaderFailResult;type:ConfigLoaderResult;function:loadConfig;function:configLoader,./options
./frontend/node_modules/tsconfig-paths/src/mapping-entry.ts,64,6.04,3,0,0,0,2,0,0,6,3,Yes,interface:MappingEntry;interface:Paths;function:getAbsoluteMappingEntries,
./frontend/node_modules/tsconfig-paths/src/options.ts,18,1.58,2,0,0,0,1,0,0,0,0,Yes,interface:Options;const:options,
./frontend/node_modules/tsconfig-paths/src/__tests__/match-path-sync.test.ts,23,0.33,0,1,0,1,0,0,0,0,0,No,,../match-path-sync
./frontend/node_modules/tsconfig-paths/src/__tests__/match-path-async.test.ts,27,0.37,0,1,0,1,0,0,0,0,0,No,,../match-path-async
./frontend/node_modules/tsconfig-paths/src/__tests__/try-path.test.ts,193,2.13,0,2,1,1,0,0,0,0,0,No,,../try-path;path
./frontend/node_modules/tsconfig-paths/src/__tests__/config-loader.test.ts,100,1.2,0,2,1,1,0,0,0,0,0,No,,../config-loader;path
./frontend/node_modules/tsconfig-paths/src/__tests__/mapping-entry.test.ts,70,0.9,0,2,1,1,0,0,0,0,0,No,,../mapping-entry;path
./frontend/node_modules/tsconfig-paths/src/__tests__/tsconfig-loader.test.ts,416,4.86,0,2,1,1,0,0,0,0,0,Yes,,../tsconfig-loader;path
./frontend/node_modules/tsconfig-paths/src/__tests__/filesystem.test.ts,65,0.65,0,0,0,0,0,0,0,0,0,No,,
./frontend/node_modules/tsconfig-paths/src/__tests__/data/match-path-data.ts,219,5.39,2,2,1,1,1,0,0,4,0,Yes,interface:OneTest;const:tests,path;../../filesystem
./frontend/node_modules/react-redux/src/next.ts,24,0.74,0,5,1,4,0,0,0,0,0,No,,use-sync-external-store/with-selector;./utils/reactBatchedUpdates;./utils/batch;./hooks/useSelector;./components/connect
./frontend/node_modules/react-redux/src/types.ts,178,23.68,20,0,0,0,4,1,0,37,1,Yes,type:FixTypeLater;type:EqualityFn;type:ExtendedEqualityFn;type:AnyIfEmpty;type:DistributiveOmit;interface:DispatchProp;type:Matching;type:Shared;type:GetProps;type:GetLibraryManagedProps;type:ConnectedComponent;type:ConnectPropsMaybeWithoutContext;type:Mapped;type:InferableComponentEnhancerWithProps;type:InferableComponentEnhancer;type:InferThunkActionCreatorType;type:HandleThunkActionCreator;type:ResolveThunks;interface:TypedUseSelectorHook;type:NoInfer,
./frontend/node_modules/react-redux/src/alternate-renderers.ts,23,0.73,0,5,2,3,0,0,0,0,0,No,,use-sync-external-store/shim;use-sync-external-store/shim/with-selector;./hooks/useSelector;./components/connect;./utils/batch
./frontend/node_modules/react-redux/src/index.ts,23,0.83,0,6,2,4,0,0,0,0,0,No,,use-sync-external-store/shim;use-sync-external-store/shim/with-selector;./utils/reactBatchedUpdates;./utils/batch;./hooks/useSelector;./components/connect
./frontend/node_modules/react-redux/src/exports.ts,63,1.23,1,4,0,4,0,0,0,0,0,No,variable:type,./components/Context;./hooks/useDispatch;./hooks/useSelector;./hooks/useStore
./frontend/node_modules/react-redux/src/utils/useSyncExternalStore.ts,9,1.29,3,0,0,0,0,2,0,0,0,No,const:notInitialized;type:uSES;type:uSESWS,
./frontend/node_modules/react-redux/src/utils/isPlainObject.ts,17,1.47,1,0,0,0,0,0,0,0,2,Yes,function:isPlainObject,
./frontend/node_modules/react-redux/src/utils/bindActionCreators.ts,16,0.36,1,0,0,0,0,0,0,0,0,No,function:bindActionCreators,
./frontend/node_modules/react-redux/src/utils/warning.ts,21,1.51,1,0,0,0,0,0,0,0,2,Yes,function:warning,
./frontend/node_modules/react-redux/src/utils/reactBatchedUpdates.native.ts,5,0.15,0,1,1,0,0,0,0,0,0,No,,react-native
./frontend/node_modules/react-redux/src/utils/batch.ts,13,0.53,2,0,0,0,0,0,0,0,0,No,const:setBatch;const:getBatch,
./frontend/node_modules/react-redux/src/utils/useIsomorphicLayoutEffect.native.ts,5,0.25,1,0,0,0,0,0,0,0,0,No,const:useIsomorphicLayoutEffect,
./frontend/node_modules/react-redux/src/utils/useIsomorphicLayoutEffect.ts,21,1.11,2,0,0,0,0,0,0,0,0,Yes,const:canUseDOM;const:useIsomorphicLayoutEffect,
./frontend/node_modules/react-redux/src/utils/Subscription.ts,184,4.24,2,1,0,1,1,3,0,0,0,Yes,interface:Subscription;function:createSubscription,./batch
./frontend/node_modules/react-redux/src/utils/reactBatchedUpdates.ts,1,0.01,0,0,0,0,0,0,0,0,0,No,,
./frontend/node_modules/react-redux/src/utils/shallowEqual.ts,36,1.06,1,0,0,0,0,0,0,0,0,Yes,function:shallowEqual,
./frontend/node_modules/react-redux/src/utils/verifyPlainObject.ts,14,0.34,1,0,0,0,0,0,0,0,0,No,function:verifyPlainObject,
./frontend/node_modules/react-redux/src/components/Context.ts,48,4.48,4,0,0,0,1,1,0,6,0,No,interface:ReactReduxContextValue;const:ReactReduxContext;type:ReactReduxContextInstance;variable:ReactReduxContext,
./frontend/node_modules/react-redux/src/hooks/useDispatch.ts,53,6.83,3,3,1,2,0,0,0,7,7,Yes,function:createDispatchHook;const:CounterComponent;const:useDispatch,../components/Context;./useStore;react-redux
./frontend/node_modules/react-redux/src/hooks/useSelector.ts,190,10.9,7,5,2,3,2,1,0,8,7,Yes,type:CheckFrequency;interface:UseSelectorOptions;interface:UseSelector;const:initializeUseSelector;function:createSelectorHook;const:CounterComponent;const:useSelector,react;./useReduxContext;../components/Context;../utils/useSyncExternalStore;react-redux
./frontend/node_modules/react-redux/src/hooks/useReduxContext.ts,42,4.22,3,3,2,1,0,0,0,3,4,Yes,function:createReduxContextHook;const:CounterComponent;const:useReduxContext,react;../components/Context;react-redux
./frontend/node_modules/react-redux/src/hooks/useStore.ts,53,6.53,3,3,1,2,0,0,0,6,9,No,function:createStoreHook;const:ExampleComponent;const:useStore,../components/Context;./useReduxContext;react-redux
./frontend/node_modules/react-redux/src/connect/selectorFactory.ts,242,55.62,15,0,0,0,5,0,0,118,0,Yes,type:SelectorFactory;type:Selector;type:MapStateToProps;type:MapStateToPropsFactory;type:MapStateToPropsParam;type:MapDispatchToPropsFunction;type:MapDispatchToProps;type:MapDispatchToPropsFactory;type:MapDispatchToPropsParam;type:MapDispatchToPropsNonObject;type:MergeProps;function:pureFinalPropsSelectorFactory;interface:InitOptions;interface:SelectorFactoryOptions;function:finalPropsSelectorFactory,
./frontend/node_modules/react-redux/src/connect/mapStateToProps.ts,14,3.24,1,2,0,2,0,0,0,6,1,No,function:mapStateToPropsFactory,./wrapMapToProps;./invalidArgFactory
./frontend/node_modules/react-redux/src/connect/invalidArgFactory.ts,14,0.74,1,0,0,0,0,0,0,1,0,No,function:createInvalidArgFactory,
./frontend/node_modules/react-redux/src/connect/wrapMapToProps.ts,110,3.4,4,0,0,0,0,2,0,1,0,Yes,type:MapToProps;function:wrapMapToPropsConstant;function:getDependsOnOwnProps;function:wrapMapToPropsFunc,
./frontend/node_modules/react-redux/src/connect/mergeProps.ts,78,7.38,3,1,0,1,0,0,0,14,1,No,function:defaultMergeProps;function:wrapMergePropsFunc;function:mergePropsFactory,./invalidArgFactory
./frontend/node_modules/react-redux/src/connect/verifySubselectors.ts,26,0.96,1,0,0,0,0,0,0,0,0,Yes,function:verifySubselectors,
./frontend/node_modules/react-redux/src/connect/mapDispatchToProps.ts,25,4.15,1,2,0,2,0,0,0,6,2,Yes,function:mapDispatchToPropsFactory,./wrapMapToProps;./invalidArgFactory
./frontend/node_modules/agent-base/src/promisify.ts,33,1.43,1,1,0,1,0,1,0,0,0,Yes,function:promisify,./index
./frontend/node_modules/agent-base/src/index.ts,345,11.85,12,2,2,0,4,7,0,0,4,Yes,interface:ClientRequest;interface:AgentRequestOptions;interface:HttpRequestOptions;interface:HttpsRequestOptions;type:RequestOptions;type:AgentLike;type:AgentCallbackReturn;type:AgentCallbackCallback;type:AgentCallbackPromise;type:AgentCallback;type:AgentOptions;class:Agent,stream;events
./frontend/node_modules/styled-components/test-utils/setupTestFramework.ts,26,1.16,0,0,0,0,0,0,0,1,0,Yes,,
./frontend/node_modules/styled-components/test-utils/index.ts,39,1.69,3,2,1,1,0,0,0,0,0,Yes,function:enzymeFind;function:find;function:findAll,enzyme;../src/types
